t,NO2
2021-03-15,nan
2021-03-15,nan
2021-03-15,nan
2021-03-15,nan
2021-03-16,nan
2021-03-16,nan
2021-03-16,nan
2021-03-16,nan
2021-03-17,nan
2021-03-17,nan
2021-03-17,nan
2021-03-17,9.454046e-06
2021-03-18,nan
2021-03-18,nan
2021-03-18,nan
2021-03-18,nan
2021-03-19,2.6166148e-05
2021-03-19,2.023003e-05
2021-03-19,3.8127175e-05
2021-03-19,3.0061952e-05
2021-03-20,2.4962992e-05
2021-03-20,nan
2021-03-20,nan
2021-03-20,nan
2021-03-21,2.2014925e-05
2021-03-21,2.3293236e-05
2021-03-21,3.1660067e-05
2021-03-21,2.1020001e-05
2021-03-22,2.088984e-05
2021-03-22,2.3412282e-05
2021-03-22,nan
2021-03-22,3.8656075e-05
2021-03-23,nan
2021-03-23,1.7601955e-05
2021-03-23,1.7601955e-05
2021-03-23,1.7601955e-05
2021-03-24,nan
2021-03-24,nan
2021-03-24,nan
2021-03-24,nan
2021-03-25,-1.1266002e-05
2021-03-25,nan
2021-03-25,8.882096e-06
2021-03-25,8.882096e-06
2021-03-26,nan
2021-03-26,nan
2021-03-26,nan
2021-03-26,nan
2021-03-27,nan
2021-03-27,2.8211732e-06
2021-03-27,3.8555168e-08
2021-03-27,9.824286e-06
2021-03-28,1.2714959e-05
2021-03-28,7.9682593e-07
2021-03-28,2.2864655e-05
2021-03-28,2.2864655e-05
2021-03-29,nan
2021-03-29,nan
2021-03-29,nan
2021-03-29,nan
2021-03-30,1.8317047e-05
2021-03-30,1.2172064e-05
2021-03-30,1.2172064e-05
2021-03-30,1.2172064e-05
2021-03-31,nan
2021-03-31,nan
2021-03-31,1.4600851e-06
2021-03-31,nan
2021-04-01,nan
2021-04-01,nan
2021-04-01,nan
2021-04-01,nan
2021-04-02,3.15003e-05
2021-04-02,1.0077059e-05
2021-04-02,-1.650638e-07
2021-04-02,1.0077059e-05
2021-04-03,2.5642497e-05
2021-04-03,2.0204467e-05
2021-04-03,2.9286954e-05
2021-04-03,3.1007876e-05
2021-04-04,nan
2021-04-04,nan
2021-04-04,nan
2021-04-04,nan
2021-04-05,nan
2021-04-05,nan
2021-04-05,nan
2021-04-05,nan
2021-04-06,nan
2021-04-06,nan
2021-04-06,nan
2021-04-06,nan
2021-04-07,nan
2021-04-07,nan
2021-04-07,nan
2021-04-07,nan
2021-04-08,nan
2021-04-08,nan
2021-04-08,nan
2021-04-08,nan
2021-04-09,nan
2021-04-09,nan
2021-04-09,nan
2021-04-09,nan
2021-04-10,nan
2021-04-10,nan
2021-04-10,-1.8880575e-06
2021-04-10,nan
2021-04-11,1.1112033e-05
2021-04-11,1.4868049e-05
2021-04-11,1.1112033e-05
2021-04-11,1.463263e-05
2021-04-12,9.611737e-06
2021-04-12,2.9569874e-05
2021-04-12,9.611737e-06
2021-04-12,2.1342905e-05
2021-04-14,nan
2021-04-14,-2.5271395e-06
2021-04-14,1.9673074e-05
2021-04-14,-2.5271395e-06
2021-04-15,1.170198e-05
2021-04-15,1.170198e-05
2021-04-15,1.2908032e-05
2021-04-15,1.2908032e-05
2021-04-16,1.9898003e-05
2021-04-16,3.2022506e-06
2021-04-16,1.2668988e-05
2021-04-16,2.1971655e-05
2021-04-17,1.6544289e-05
2021-04-17,2.3411336e-05
2021-04-17,3.5633308e-05
2021-04-17,1.5340407e-05
2021-04-18,1.45956155e-05
2021-04-18,1.5057534e-05
2021-04-18,1.0437337e-05
2021-04-18,9.646933e-06
2021-04-19,1.5150317e-05
2021-04-19,9.260734e-06
2021-04-19,2.1842749e-05
2021-04-19,9.260734e-06
2021-04-20,1.6270578e-05
2021-04-20,1.6876626e-05
2021-04-20,1.8300672e-05
2021-04-20,1.6876626e-05
2021-04-21,3.774063e-05
2021-04-21,2.4509194e-05
2021-04-21,3.0796073e-05
2021-04-21,4.0491374e-05
2021-04-22,1.8868546e-05
2021-04-22,3.3328444e-05
2021-04-22,1.9032925e-05
2021-04-22,1.8257619e-05
2021-04-23,3.520176e-05
2021-04-23,2.4902556e-05
2021-04-23,6.2504473e-06
2021-04-23,3.9982093e-05
2021-04-24,1.5624237e-05
2021-04-24,2.951766e-05
2021-04-24,1.5624237e-05
2021-04-24,3.457204e-05
2021-04-26,-1.3106919e-06
2021-04-26,2.1870555e-05
2021-04-26,-2.5549687e-07
2021-04-26,2.1870555e-05
2021-04-27,2.1885284e-05
2021-04-27,2.5614136e-05
2021-04-27,1.2447536e-05
2021-04-27,2.5614136e-05
2021-04-28,2.2346296e-05
2021-04-28,1.0703525e-05
2021-04-28,1.7039312e-05
2021-04-28,1.820437e-05
2021-04-29,nan
2021-04-29,nan
2021-04-29,nan
2021-04-29,nan
2021-04-30,2.2298162e-05
2021-04-30,1.5360612e-05
2021-04-30,2.2298162e-05
2021-04-30,1.441577e-05
2021-05-01,1.15693265e-05
2021-05-01,-3.1863278e-06
2021-05-01,1.0189046e-05
2021-05-01,1.17949885e-05
2021-05-02,5.047918e-06
2021-05-02,-3.10626e-06
2021-05-02,5.1202123e-06
2021-05-02,-4.3766117e-06
2021-05-03,1.0024403e-05
2021-05-03,1.2827827e-05
2021-05-03,8.217794e-06
2021-05-03,2.763581e-05
2021-05-04,nan
2021-05-04,nan
2021-05-04,1.0864503e-05
2021-05-04,nan
2021-05-05,nan
2021-05-05,nan
2021-05-05,1.3801961e-05
2021-05-05,1.3801961e-05
2021-05-06,nan
2021-05-06,nan
2021-05-06,nan
2021-05-06,nan
2021-05-07,nan
2021-05-07,nan
2021-05-07,nan
2021-05-07,nan
2021-05-08,9.665835e-06
2021-05-08,2.2729635e-05
2021-05-08,9.665835e-06
2021-05-08,1.7811946e-05
2021-05-09,3.2011776e-05
2021-05-09,1.8548157e-05
2021-05-09,2.1512178e-05
2021-05-09,1.8548157e-05
2021-05-10,2.3060657e-05
2021-05-10,1.6409127e-05
2021-05-10,1.6409127e-05
2021-05-10,1.6409127e-05
2021-05-11,nan
2021-05-11,nan
2021-05-11,nan
2021-05-11,nan
2021-05-12,2.0773707e-05
2021-05-12,2.0773707e-05
2021-05-12,1.1657221e-05
2021-05-12,1.1657221e-05
2021-05-13,nan
2021-05-13,nan
2021-05-13,nan
2021-05-13,nan
2021-05-14,1.5439591e-05
2021-05-14,6.8028994e-06
2021-05-14,1.5439591e-05
2021-05-14,2.3834911e-05
2021-05-15,2.1920887e-05
2021-05-15,2.0561514e-05
2021-05-15,1.667302e-05
2021-05-15,2.0561514e-05
2021-05-16,1.0955229e-05
2021-05-16,1.0955229e-05
2021-05-16,1.4270951e-05
2021-05-16,1.6939099e-05
2021-05-17,1.6759117e-05
2021-05-17,1.0527341e-05
2021-05-17,1.6759117e-05
2021-05-17,1.808134e-05
2021-05-18,nan
2021-05-18,nan
2021-05-18,nan
2021-05-18,nan
2021-05-19,nan
2021-05-19,nan
2021-05-19,nan
2021-05-19,nan
2021-05-20,nan
2021-05-20,nan
2021-05-20,nan
2021-05-20,nan
2021-05-21,1.3182126e-05
2021-05-21,7.4275404e-06
2021-05-21,1.7367322e-05
2021-05-21,7.4275404e-06
2021-05-22,2.2795175e-05
2021-05-22,2.2795175e-05
2021-05-22,2.6338419e-05
2021-05-22,2.6338419e-05
2021-05-23,nan
2021-05-23,nan
2021-05-23,nan
2021-05-23,nan
2021-05-24,1.644388e-05
2021-05-24,1.0071933e-05
2021-05-24,1.0506449e-05
2021-05-24,7.277843e-06
2021-05-25,3.233372e-08
2021-05-25,1.713723e-05
2021-05-25,4.753165e-06
2021-05-25,2.5763553e-05
2021-05-26,1.1599829e-05
2021-05-26,1.8205472e-05
2021-05-26,1.4029026e-05
2021-05-26,1.8205472e-05
2021-05-27,nan
2021-05-27,nan
2021-05-27,nan
2021-05-27,nan
2021-05-28,-1.3592216e-06
2021-05-28,1.3621523e-05
2021-05-28,2.4896588e-05
2021-05-28,9.292557e-06
2021-05-29,1.4124375e-05
2021-05-29,2.3891964e-05
2021-05-29,1.3101777e-06
2021-05-29,-7.7054665e-06
2021-05-30,nan
2021-05-30,nan
2021-05-30,2.198015e-05
2021-05-30,3.7349095e-05
2021-05-31,1.7332699e-05
2021-05-31,3.0795938e-05
2021-05-31,nan
2021-05-31,3.0795938e-05
2021-06-01,1.2025749e-05
2021-06-01,1.3268935e-05
2021-06-01,1.2418166e-05
2021-06-01,6.711624e-06
2021-06-02,1.1992097e-05
2021-06-02,1.1992097e-05
2021-06-02,2.4561514e-05
2021-06-02,2.4561514e-05
2021-06-03,3.1011614e-06
2021-06-03,6.2739473e-06
2021-06-03,5.637025e-06
2021-06-03,1.1791211e-05
2021-06-04,1.2473082e-05
2021-06-04,1.8692208e-05
2021-06-04,8.4404755e-06
2021-06-04,3.2879414e-06
2021-06-05,1.112525e-05
2021-06-05,7.813232e-06
2021-06-05,2.8663302e-05
2021-06-05,7.813232e-06
2021-06-06,4.0936797e-05
2021-06-06,4.0936797e-05
2021-06-06,1.9001114e-05
2021-06-06,1.9001114e-05
2021-06-07,1.6601947e-05
2021-06-07,2.4538285e-05
2021-06-07,1.6601947e-05
2021-06-07,2.8920984e-05
2021-06-08,-1.7146374e-06
2021-06-08,1.0471254e-05
2021-06-08,-1.7146374e-06
2021-06-08,7.995387e-06
2021-06-09,1.6252236e-05
2021-06-09,1.5874159e-05
2021-06-09,1.42593835e-05
2021-06-09,1.9364192e-05
2021-06-10,3.767416e-05
2021-06-10,2.336232e-05
2021-06-10,2.3880504e-05
2021-06-10,6.723446e-06
2021-06-11,7.262024e-06
2021-06-11,1.35660985e-05
2021-06-11,1.0813563e-05
2021-06-11,1.35660985e-05
2021-06-12,nan
2021-06-12,nan
2021-06-12,1.8970317e-05
2021-06-12,nan
2021-06-13,5.399137e-06
2021-06-13,5.399137e-06
2021-06-13,3.7714656e-06
2021-06-13,5.399137e-06
2021-06-14,nan
2021-06-14,1.4816836e-05
2021-06-14,nan
2021-06-14,nan
2021-06-15,nan
2021-06-15,5.537594e-06
2021-06-15,nan
2021-06-15,5.537594e-06
2021-06-16,nan
2021-06-16,nan
2021-06-16,nan
2021-06-16,nan
2021-06-17,8.123397e-06
2021-06-17,7.113068e-06
2021-06-17,1.51308295e-05
2021-06-17,7.113068e-06
2021-06-18,nan
2021-06-18,nan
2021-06-18,nan
2021-06-18,nan
2021-06-19,nan
2021-06-19,nan
2021-06-19,nan
2021-06-19,nan
2021-06-20,nan
2021-06-20,nan
2021-06-20,nan
2021-06-20,nan
2021-06-21,nan
2021-06-21,nan
2021-06-21,nan
2021-06-21,nan
2021-06-22,3.4173834e-06
2021-06-22,1.292069e-05
2021-06-22,3.4173834e-06
2021-06-22,9.3059325e-06
2021-06-23,1.0459467e-05
2021-06-23,1.0459467e-05
2021-06-23,1.0459467e-05
2021-06-23,1.0459467e-05
2021-06-24,nan
2021-06-24,nan
2021-06-24,nan
2021-06-24,nan
2021-06-25,6.7838005e-07
2021-06-25,1.3816515e-05
2021-06-25,6.7838005e-07
2021-06-25,2.7905291e-05
2021-06-26,2.39865e-05
2021-06-26,-5.802197e-07
2021-06-26,2.39865e-05
2021-06-26,3.152887e-05
2021-06-27,1.2693239e-05
2021-06-27,1.730908e-05
2021-06-27,1.4144132e-05
2021-06-27,-5.8799346e-06
2021-06-28,nan
2021-06-28,nan
2021-06-28,nan
2021-06-28,nan
2021-06-29,7.5274866e-06
2021-06-29,1.4085619e-05
2021-06-29,1.4238097e-05
2021-06-29,9.064188e-06
2021-06-30,1.2438652e-05
2021-06-30,1.29161035e-05
2021-06-30,2.6071622e-05
2021-06-30,2.4025732e-05
2021-07-01,3.0219902e-05
2021-07-01,3.9432995e-05
2021-07-01,4.815657e-05
2021-07-01,3.9432995e-05
