t,NO2
2021-01-01,3.4454686e-05
2021-01-02,3.4454686e-05
2021-01-04,3.4454686e-05
2021-01-05,3.4454686e-05
2021-01-06,3.4454686e-05
2021-01-07,3.4454686e-05
2021-01-08,3.3665619894736844e-05
2021-01-09,3.2876553789473685e-05
2021-01-10,3.2087487684210526e-05
2021-01-11,3.129842157894737e-05
2021-01-12,3.0509355473684212e-05
2021-01-13,2.9720289368421054e-05
2021-01-14,2.8931223263157898e-05
2021-01-15,2.814215715789474e-05
2021-01-16,2.735309105263158e-05
2021-01-17,2.6564024947368422e-05
2021-01-18,2.5774958842105263e-05
2021-01-19,2.4985892736842105e-05
2021-01-20,2.419682663157895e-05
2021-01-21,2.340776052631579e-05
2021-01-22,2.2618694421052635e-05
2021-01-23,2.1829628315789477e-05
2021-01-24,2.1040562210526318e-05
2021-01-25,2.025149610526316e-05
2021-01-26,1.946243e-05
2021-01-27,1.8734376600000002e-05
2021-01-28,1.80063232e-05
2021-01-29,1.72782698e-05
2021-01-31,1.65502164e-05
2021-02-01,1.5822163e-05
2021-02-02,1.6073624e-05
2021-02-03,1.6325085e-05
2021-02-05,1.6576546000000002e-05
2021-02-06,1.6828007e-05
2021-02-07,1.7079468e-05
2021-02-08,1.79645005e-05
2021-02-09,1.8849533e-05
2021-02-10,1.97345655e-05
2021-02-11,2.0619598e-05
2021-02-12,2.1504630499999997e-05
2021-02-13,2.2389663e-05
2021-02-14,2.32746955e-05
2021-02-15,2.4159728e-05
2021-02-16,1.5575899e-05
2021-02-17,1.0674609e-05
2021-02-18,7.194830673333334e-06
2021-02-19,3.7150523466666665e-06
2021-02-21,2.3527402e-07
2021-02-22,3.049697e-05
2021-02-23,3.107919825e-05
2021-02-24,3.16614265e-05
2021-02-25,3.224365475e-05
2021-02-26,3.2825883e-05
2021-02-27,1.9342462e-05
2021-02-28,1.6196033506666665e-05
2021-03-01,1.3049605013333334e-05
2021-03-02,9.903176519999999e-06
2021-03-03,6.756748026666666e-06
2021-03-04,3.6103195333333333e-06
2021-03-05,4.6389104e-07
2021-03-06,1.8321194628571428e-06
2021-03-07,3.2003478857142856e-06
2021-03-08,4.568576308571428e-06
2021-03-09,5.936804731428571e-06
2021-03-10,7.305033154285714e-06
2021-03-11,8.673261577142857e-06
2021-03-12,1.004149e-05
2021-03-13,1.1496995714285713e-05
2021-03-14,1.2952501428571429e-05
2021-03-15,1.4408007142857142e-05
2021-03-16,1.5863512857142856e-05
2021-03-17,1.731901857142857e-05
2021-03-18,1.8774524285714283e-05
