t,NO2,t-1,t-2,t-3,t-4,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2021-01-02,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,2,5,2,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306
2021-01-02,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,2,5,2,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306
2021-01-02,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,2,5,2,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306
2021-01-02,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,2,5,2,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306
2021-01-03,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,3,6,3,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763
2021-01-03,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,3,6,3,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763
2021-01-03,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,3,6,3,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763
2021-01-03,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,3,6,3,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763
2021-01-04,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,4,0,4,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
2021-01-04,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,4,0,4,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
2021-01-04,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,4,0,4,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
2021-01-04,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,4,0,4,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
2021-01-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,5,1,5,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
2021-01-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,5,1,5,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
2021-01-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,5,1,5,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
2021-01-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,5,1,5,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
2021-01-06,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,6,2,6,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
2021-01-06,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,6,2,6,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
2021-01-06,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,6,2,6,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
2021-01-06,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,6,2,6,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
2021-01-07,5.098472e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,7,3,7,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767
2021-01-07,4.2719703000000005e-05,5.098472e-05,3.4454686e-05,3.4454686e-05,3.4454686e-05,2021,1,7,3,7,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767
2021-01-07,3.4454686e-05,4.2719703000000005e-05,5.098472e-05,3.4454686e-05,3.4454686e-05,2021,1,7,3,7,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767
2021-01-07,3.4454686e-05,3.4454686e-05,4.2719703000000005e-05,5.098472e-05,3.4454686e-05,2021,1,7,3,7,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767
2021-01-08,4.47169485e-05,3.4454686e-05,3.4454686e-05,4.2719703000000005e-05,5.098472e-05,2021,1,8,4,8,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264
2021-01-08,3.8449177e-05,4.47169485e-05,3.4454686e-05,3.4454686e-05,4.2719703000000005e-05,2021,1,8,4,8,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264
2021-01-08,3.21814055e-05,3.8449177e-05,4.47169485e-05,3.4454686e-05,3.4454686e-05,2021,1,8,4,8,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264
2021-01-08,2.5913634e-05,3.21814055e-05,3.8449177e-05,4.47169485e-05,3.4454686e-05,2021,1,8,4,8,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264
2021-01-09,1.96458625e-05,2.5913634e-05,3.21814055e-05,3.8449177e-05,4.47169485e-05,2021,1,9,5,9,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204
2021-01-09,1.3378091e-05,1.96458625e-05,2.5913634e-05,3.21814055e-05,3.8449177e-05,2021,1,9,5,9,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204
2021-01-09,1.3378091e-05,1.3378091e-05,1.96458625e-05,2.5913634e-05,3.21814055e-05,2021,1,9,5,9,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204
2021-01-09,1.3378091e-05,1.3378091e-05,1.3378091e-05,1.96458625e-05,2.5913634e-05,2021,1,9,5,9,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204
2021-01-10,1.346962892e-05,1.3378091e-05,1.3378091e-05,1.3378091e-05,1.96458625e-05,2021,1,10,6,10,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344
2021-01-10,1.344674444e-05,1.346962892e-05,1.3378091e-05,1.3378091e-05,1.3378091e-05,2021,1,10,6,10,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344
2021-01-10,1.342385996e-05,1.344674444e-05,1.346962892e-05,1.3378091e-05,1.3378091e-05,2021,1,10,6,10,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344
2021-01-10,1.340097548e-05,1.342385996e-05,1.344674444e-05,1.346962892e-05,1.3378091e-05,2021,1,10,6,10,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344
2021-01-11,1.34925134e-05,1.340097548e-05,1.342385996e-05,1.344674444e-05,1.346962892e-05,2021,1,11,0,11,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626
2021-01-11,1.351539788e-05,1.34925134e-05,1.340097548e-05,1.342385996e-05,1.344674444e-05,2021,1,11,0,11,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626
2021-01-11,1.353828236e-05,1.351539788e-05,1.34925134e-05,1.340097548e-05,1.342385996e-05,2021,1,11,0,11,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626
2021-01-11,1.356116684e-05,1.353828236e-05,1.351539788e-05,1.34925134e-05,1.340097548e-05,2021,1,11,0,11,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626
2021-01-12,1.358405132e-05,1.356116684e-05,1.353828236e-05,1.351539788e-05,1.34925134e-05,2021,1,12,1,12,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791
2021-01-12,1.36069358e-05,1.358405132e-05,1.356116684e-05,1.353828236e-05,1.351539788e-05,2021,1,12,1,12,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791
2021-01-12,1.362982028e-05,1.36069358e-05,1.358405132e-05,1.356116684e-05,1.353828236e-05,2021,1,12,1,12,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791
2021-01-12,1.365270476e-05,1.362982028e-05,1.36069358e-05,1.358405132e-05,1.356116684e-05,2021,1,12,1,12,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791
2021-01-13,1.37213582e-05,1.365270476e-05,1.362982028e-05,1.36069358e-05,1.358405132e-05,2021,1,13,2,13,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821
2021-01-13,1.374424268e-05,1.37213582e-05,1.365270476e-05,1.362982028e-05,1.36069358e-05,2021,1,13,2,13,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821
2021-01-13,1.367558924e-05,1.374424268e-05,1.37213582e-05,1.365270476e-05,1.362982028e-05,2021,1,13,2,13,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821
2021-01-13,1.369847372e-05,1.367558924e-05,1.374424268e-05,1.37213582e-05,1.365270476e-05,2021,1,13,2,13,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821
2021-01-14,1.38357806e-05,1.369847372e-05,1.367558924e-05,1.374424268e-05,1.37213582e-05,2021,1,14,3,14,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488
2021-01-14,1.381289612e-05,1.38357806e-05,1.369847372e-05,1.367558924e-05,1.374424268e-05,2021,1,14,3,14,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488
2021-01-14,1.379001164e-05,1.381289612e-05,1.38357806e-05,1.369847372e-05,1.367558924e-05,2021,1,14,3,14,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488
2021-01-14,1.376712716e-05,1.379001164e-05,1.381289612e-05,1.38357806e-05,1.369847372e-05,2021,1,14,3,14,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488
2021-01-15,1.385866508e-05,1.376712716e-05,1.379001164e-05,1.381289612e-05,1.38357806e-05,2021,1,15,4,15,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895
2021-01-15,1.388154956e-05,1.385866508e-05,1.376712716e-05,1.379001164e-05,1.381289612e-05,2021,1,15,4,15,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895
2021-01-15,1.390443404e-05,1.388154956e-05,1.385866508e-05,1.376712716e-05,1.379001164e-05,2021,1,15,4,15,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895
2021-01-15,1.392731852e-05,1.390443404e-05,1.388154956e-05,1.385866508e-05,1.376712716e-05,2021,1,15,4,15,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895
2021-01-16,1.3950203e-05,1.392731852e-05,1.390443404e-05,1.388154956e-05,1.385866508e-05,2021,1,16,5,16,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952
